product_code,product_name,id,product_id,group_code,set_item_label,part_no,part_name,material_code,material_kind,profile_shape,profile_code,dim_a_mm,dim_b_mm,wall_thickness_mm,cut_length_mm,qty,unit,waste_pct,weight_kg,total_length_m,paint_area_m2,volume_m3,unit_price,amount,note,sort_order,created_at,updated_at,section_title,unit_basis,material_note,tenon
CH0200HG-AL,Ghế xếp Florenz,001c3e29-234d-49aa-9179-f8f31c808f24,b515c2f0-495c-4683-93bf-322192caaeee,HARDWARE,,,"Bulon 6x50x13, 7M",VT-PK-BULONG-M6X50,,,,,,,,4,con,0,,,,,,,"LK 2 chân, Chân + mê",16,2026-07-27T08:40:23.496126+00:00,2026-07-27T08:40:23.496126+00:00,,,Thép/Nhựa,
CH0187HG-AL,Bar Armchair,0039b6a4-679f-436f-a052-b1f2cb0f95c9,d74c0269-67ef-4343-979b-feef0e4277d9,PACKAGING,,,Cardboard lót tay vịn,VT-BB-CARDBOARD-LOT-TAY-VIN,,,,,,,,2,cái,0,,,,,,,,30,2026-07-27T08:39:51.973407+00:00,2026-07-27T08:39:51.973407+00:00,,,20x40x200mm · Bao bì,
TB0169HG-AL,Bàn CNKG Paxos,005e402b-06e5-4200-bea2-648b2cf6aa3b,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,FRAME,,,Chân,VT-AL-VUONG-60x60,AL,VUONG,,60,60,,655,4,Cái,0,,,,,,,,9,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,Vuông 60x60x655mm · Nhôm,
TB0174HG-AL,Bàn xếp Santorin,0121cf98-edaa-4d2a-8ae6-285ea3b82be2,9999b62a-9e6c-479a-a503-dfb1f5a01eda,HARDWARE,,,"LĐS 6x16x1, 7M",VT-PK-LDS-6X16X1-7M-6X16X1,,,,,,,,4,Con,0,,,,,,,,27,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,6x16x1,
CH0113HG-AL,Armchair,015582a0-5bd5-4aa4-9a4a-a018bac4bdb0,df8b1a79-e9a3-4514-b995-7239f1f0dacd,HARDWARE,,,Long đền nhọn 1 lỗ vít,VT-PK-LONGDEN-LONG-DEN-NHON-1-LO-VIT,,,,,,,,4,cái,0,,,,,,,,35,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,Kim loại,
CH0189HG-AL,Stacking Armchair,015dae31-3d67-4d23-81b6-076f7629673d,9d8c30ac-09ec-4dc2-8e68-42aeb736970f,FRAME,,,Thanh ngang mê trước,VT-AL-HOP-10x38,AL,HOP,,10,38,,506,1,Cái,0,,,,,,,Profile 210,3,2026-07-27T08:39:53.627404+00:00,2026-07-27T08:39:53.627404+00:00,,,Hộp 10x38x506mm · Nhôm,
CH0188HG-AL,Stacking Armchair,01c3b124-ba15-4e87-b5d1-32aa739d31e9,e8973176-e4ea-48ca-af9b-3be8ebadfe91,FRAME,,,Thanh ngang mê sau,VT-AL-HOP-12x30,AL,HOP,,12,30,,448,1,Cái,0,,,,,,,,4,2026-07-27T08:39:52.817133+00:00,2026-07-27T08:39:52.817133+00:00,,,Hộp 12x30x448mm · Nhôm,
CH0177HG-AL,Ghế XC Siena,01daf5ea-ae2b-4ac1-8b40-812d337dafa7,ecc2779b-b769-4034-aad4-8cd732d1b4de,HARDWARE,,,Gót chân phi 27 bằng màu đen,VT-PK-DECHAN-GOT-CHAN-PHI-27-BANG-MAU,,,,,,,,2,cái,0,,,,,,,,14,2026-07-27T08:40:15.874288+00:00,2026-07-27T08:40:15.874288+00:00,,,Gót chân phi 27 bằng màu đen,
CH0113HG-AL,Armchair,01e35a88-6c68-41c5-b725-27b99d5748e6,df8b1a79-e9a3-4514-b995-7239f1f0dacd,FRAME,,,Dọc mê ngồi,VT-AL-PF-TDA593,AL,PF,TDA593,22,35,,505,2,Cái,0,,,,,,,,2,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,TD-A593 22x35x505mm · Nhôm,
CH0114HG-AL,"Ghế 5 bậc Santorin Khung nhôm, gỗ keo Tay ghế làm bằng gỗ cong",026f1789-d6ac-4c51-aec8-c6e6b64aa886,1959095d-7773-4766-a3b4-ebb37d852937,HARDWARE,,,Nắp nhựa dẻo chụp lỗ bắn vít,VT-PK-VIT-NAP-NHUA-DEO-CHUP-LO-BAN,,,,,,,,18,Cái,0,,,,,,,,21,2026-07-27T08:40:09.71892+00:00,2026-07-27T08:40:09.71892+00:00,,,đen · Nhựa dẻo,
CH0187HG-AL,Bar Armchair,028d5fff-2b16-4af6-a196-3cf17ca5e0d8,d74c0269-67ef-4343-979b-feef0e4277d9,PACKAGING,,,Dây đai,VT-BB-DAY-DAI,,,,,,,,40,m,0,,,,,,,,17,2026-07-27T08:39:51.973407+00:00,2026-07-27T08:39:51.973407+00:00,,,Dây đai · Bao bì,
CH0170HG-AL,Ghế 5 bậc Paxos,02b3854f-77c7-4eaa-a1d8-1bd0e5222581,b6a4f71a-46ec-4e19-bd92-8bae4aed885f,HARDWARE,,,"LĐN 6x16x1, đen",VT-PK-LDN-6X16X1-DEN-6X16X1,,,,,,,,2,con,0,,,,,,,,32,2026-07-27T08:40:07.00024+00:00,2026-07-27T08:40:07.00024+00:00,,,6x16x1,
SL0181HG-AL,Giường tắm nắng Paxos,030ac070-e393-4b71-86f9-b172e8edccc1,061e7682-05b0-43e3-a65d-1d7921caa87b,FRAME,,,Ngang Chống tựa,VT-AL-VUONG-16x16,AL,VUONG,,16,16,,590,1,Cái,0,,,,,,,,10,2026-07-27T08:40:07.914699+00:00,2026-07-27T08:40:07.914699+00:00,,,Vuông 16x16x590mm · Nhôm,
CH0113HG-AL,Armchair,03b931e7-6fd6-4d85-9299-aeb3e06a659f,df8b1a79-e9a3-4514-b995-7239f1f0dacd,PACKAGING,,,Túi vải,VT-BB-TUI-VAI,,,,,,,,1,cái,0,,,,,,,,38,2026-07-27T08:39:58.82981+00:00,2026-07-27T08:39:58.82981+00:00,,,Vải,
CH0201HG-IN,"Ghế 5 bậc Ferrara khung Inox, vải fabric, tay gỗ keo",03bd06de-1c78-4ff6-a1f0-76135e64a580,527ef8dc-ab18-4fd7-a30f-0bf800df1e6d,FRAME,,,Pat I,VT-IN-LA-2.5x2.5,IN,LA,,2.5,2.5,,,2,cái,0,,,,,,,,15,2026-07-27T08:40:24.339854+00:00,2026-07-27T08:40:24.339854+00:00,,,La 2.5x0x0mm · La,
CH0177HG-AL,Ghế XC Siena,03c2d15d-5e3c-4891-9421-a3bac2cba69e,ecc2779b-b769-4034-aad4-8cd732d1b4de,FRAME,,,Đố sau,VT-AL-PF-TDB57,AL,PF,TDB57,15,35,,440,1,Cái,0,,,,,,,,2,2026-07-27T08:40:15.874288+00:00,2026-07-27T08:40:15.874288+00:00,,,TD-B57 15x35x440mm · Nhôm,
TB0169HG-AL,Bàn CNKG Paxos,03f5bdee-6819-4d01-a38f-8f6432477d77,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,FRAME,,,Nối chân,VT-AL-VUONG-57x57,AL,VUONG,,57,57,,10,4,Cái,0,,,,,,,,4,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,Vuông 57x57x10mm · Nhôm,
BN0203HG-AL,Ghế đôi bằng nhôm gỗ bạch đàn FSC,04158cb0-d6c4-40da-9e54-90e95f12dbaa,de2881a3-ffbd-46b8-b144-c3f858ed4cab,WOOD,,,Tay vịn,VT-GO-12x40,WD,,,12,40,,517,2,cái,0,,,,,,,,12,2026-07-27T08:40:27.636224+00:00,2026-07-27T08:40:27.636224+00:00,,,Gỗ 12x40x517mm · Gỗ bạch đàn,
TB0199HG-IN,"Bàn CNKG Keros khung Inox 180(240)x100cm, nan gỗ keo FSC",045a179e-019f-42a8-bad8-5e166523b67e,abbc34a3-c6cb-477d-8ec4-0fbed3012bb6,FRAME,,,Chân,VT-IN-VUONG-60x60,IN,VUONG,,60,60,,675,4,Cái,0,,,,,,,,0,2026-07-27T08:40:18.145781+00:00,2026-07-27T08:40:18.145781+00:00,,,Vuông 60x60x1.2mm · Inox,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",04909e3b-4d7c-4662-afe5-7cf7d3e35dcd,33351402-69c3-452c-800e-023b985a89f3,WOOD,,,Tựa đầu,VT-GO-23x100,WD,,,23,100,,420,1,cái,0,,,,,,,20,11,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Gỗ 23x100x420mm · Gỗ keo,
TB0174HG-AL,Bàn xếp Santorin,04a74f28-5f9e-4e69-b22c-8a25487cd5dc,9999b62a-9e6c-479a-a503-dfb1f5a01eda,FRAME,,,Giằng chân trước + sau,VT-AL-VUONG-20x20,AL,VUONG,,20,20,,165,2,Cái,0,,,,,,,,4,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,Vuông 20x20x1mm · Nhôm,
TB0202HG-AL,Bàn bằng nhôm gỗ bạch đàn FSC,05590d91-e67d-434f-bb1f-f17f8d5b79ab,05d5b12f-3f0f-4262-b697-147448ec6bd1,FRAME,,,Giằng  bàn mặt bàn,VT-AL-VUONG-20x20,AL,VUONG,,20,20,,840,2,cái,0,,,,,,,,2,2026-07-27T08:40:25.972919+00:00,2026-07-27T08:40:25.972919+00:00,,,Vuông 20x20x840mm · Vuông,
TB0169HG-AL,Bàn CNKG Paxos,05bb1276-4c6d-4a0b-a9a8-a5eb987201c6,c6dfe1af-fe46-4d1d-9e76-808d93b8ee0d,HARDWARE,,,Vít ren gỗ,VT-PK-VIT-M6X55,,,,,,,,8,con,0,,,,,,,,31,2026-07-27T08:40:06.036147+00:00,2026-07-27T08:40:06.036147+00:00,,,"6x55, 7 màu",
CH0170HG-AL,Ghế 5 bậc Paxos,05cb32e2-2207-4d15-8180-2937e166cc0e,b6a4f71a-46ec-4e19-bd92-8bae4aed885f,HARDWARE,,,"bulon 6x65, 7 màu",VT-PK-BULONG-M6X65,,,,,,,,2,con,0,,,,,,,,20,2026-07-27T08:40:07.00024+00:00,2026-07-27T08:40:07.00024+00:00,,,6x65,
CH0201HG-IN,"Ghế 5 bậc Ferrara khung Inox, vải fabric, tay gỗ keo",060b1689-ae86-4816-a287-bde8e37e86f4,527ef8dc-ab18-4fd7-a30f-0bf800df1e6d,FRAME,,,Nẹp mê,VT-IN-PF-HG04,IN,PF,HG04,1,,,470,2,cái,0,,,,,,,,9,2026-07-27T08:40:24.339854+00:00,2026-07-27T08:40:24.339854+00:00,,,HG04 0x0x470mm · HG04,
CH0176HG-AL,Ghế 5 bậc Athos,06309fdd-64c2-4128-8f95-60c25a76b99e,a0d0c303-46c2-4387-8cce-7c68381c49dd,FRAME,,,Chốt tay,VT-AL-TRON-16x16,AL,TRON,,16,16,,59,2,Cái,0,,,,,,,,9,2026-07-27T08:40:14.779484+00:00,2026-07-27T08:40:14.779484+00:00,,,Tròn · Nhôm,
TB0173HG-AL,"Bàn CNKG 65130x65x74 cm Khung nhôm, gỗ keo, Sơn graphit",06707b33-bb37-473d-824e-0ce1809d83e9,5ee3362a-2b90-44ae-a276-666bd840086f,HARDWARE,,,Thanh trượt nhựa đen,VT-PK-THANH-TRUOT-NHUA-DEN,,,,,,,,3,bộ,0,,,,,,,,22,2026-07-27T08:40:12.237576+00:00,2026-07-27T08:40:12.237576+00:00,,,Nhựa,
TB0199HG-IN,"Bàn CNKG Keros khung Inox 180(240)x100cm, nan gỗ keo FSC",069fe871-4114-49d6-b3a9-f9ad18dfa93f,abbc34a3-c6cb-477d-8ec4-0fbed3012bb6,FRAME,,,Giằng diềm,VT-IN-VUONG-25x25,IN,VUONG,,25,25,,940,2,Cái,0,,,,,,,,3,2026-07-27T08:40:18.145781+00:00,2026-07-27T08:40:18.145781+00:00,,,Vuông 25x25x0.8mm · Inox,
TB0174HG-AL,Bàn xếp Santorin,06c7581c-b0d6-413a-be0a-8c0b4646c216,9999b62a-9e6c-479a-a503-dfb1f5a01eda,HARDWARE,,,Bulon 6x15,VT-PK-BULONG-M6X15,,,,,,,,4,Con,0,,,,,,,,37,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,6x15,
TB0198HG-IN,"Bàn Keros 150x90 khung Inox, nan gỗ keo FSC",06d4006c-617a-4b49-a6eb-0cecb5a2f755,c835fe7a-b3b4-40ed-a1ee-3e432f3166ed,HARDWARE,,,Lđs 10x20x2 ly xi trắng,VT-PK-LDS-10X20X2-LY-XI-TRANG,,,,,,,,4,con,0,,,,,,,,16,2026-07-27T08:40:22.700984+00:00,2026-07-27T08:40:22.700984+00:00,,,Thép/Nhựa,
TB0182HG-AL,"Bàn CNKG Santorin 150200x90x74 cm Khung nhôm, chân vuông 76",06e1a19c-f112-41a3-ba4a-ca804c53ac67,ab1d308e-c1ed-413a-962e-fa0665835a57,WOOD,,,Liên kết nan cánh lớn,VT-GO-15x60,WD,,,15,60,,750,4,Cái,0,,,,,,,Thẩm thẳng bào vuông góc,11,2026-07-27T08:40:11.363938+00:00,2026-07-27T08:40:11.363938+00:00,,,"15x60x750mm, Mộng 50 · Gỗ Acacia",
ST0185HG-AL,Rhone Aluminium Corner Lounge With Cushion,06e46533-a7b0-4f87-9597-d9c7643fc09b,f4a7504c-aab3-47fe-ab02-b9e3d806ee1d,FRAME,,,Chân sau,VT-AL-HOP-58x58,AL,HOP,,58,58,,617.5,2,Cái,0,,,,,,,Profile 869,1,2026-07-27T08:39:50.289387+00:00,2026-07-27T08:39:50.289387+00:00,,,Hộp 58x58x617.5mm · Nhôm,
CH0177HG-AL,Ghế XC Siena,0718827d-672e-4c4a-b1ee-1a4a518c4f62,ecc2779b-b769-4034-aad4-8cd732d1b4de,FRAME,,,Đố trước,VT-AL-PF-TDB57,AL,PF,TDB57,15,35,,510,1,Cái,0,,,,,,,,1,2026-07-27T08:40:15.874288+00:00,2026-07-27T08:40:15.874288+00:00,,,TD-B57 15x35x510mm · Nhôm,
TB0174HG-AL,Bàn xếp Santorin,07946c47-7a3b-471f-8cff-ba1594569f5c,9999b62a-9e6c-479a-a503-dfb1f5a01eda,FRAME,,,Chân trước 2,VT-AL-VUONG-40x40,AL,VUONG,,40,40,,691,2,Cái,0,,,,,,,,11,2026-07-27T08:40:13.071396+00:00,2026-07-27T08:40:13.071396+00:00,,,Vuông 40x40x691mm · Nhôm,
TB0173HG-AL,"Bàn CNKG 65130x65x74 cm Khung nhôm, gỗ keo, Sơn graphit",07e8a380-ceb9-4e1e-b419-8d5d702ade27,5ee3362a-2b90-44ae-a276-666bd840086f,FRAME,,,Giằng diềm,VT-AL-HOP-20x40,AL,HOP,,20,40,,590,2,Cái,0,,,,,,,,2,2026-07-27T08:40:12.237576+00:00,2026-07-27T08:40:12.237576+00:00,,,Hộp 20x40x590mm · Nhôm,
CH0187HG-AL,Bar Armchair,07edd8ab-f85b-47f9-be90-416918254699,d74c0269-67ef-4343-979b-feef0e4277d9,FRAME,,,Chân trước,VT-AL-HOP-40x40,AL,HOP,,40,40,,850,2,Cái,0,,,,,,,Profile 871,0,2026-07-27T08:39:51.973407+00:00,2026-07-27T08:39:51.973407+00:00,,,Hộp 40x40x850mm · Nhôm,
CH0114HG-AL,"Ghế 5 bậc Santorin Khung nhôm, gỗ keo Tay ghế làm bằng gỗ cong",07f0617b-b813-4191-80f9-50cd90db6c1e,1959095d-7773-4766-a3b4-ebb37d852937,FRAME,,,Chân trước + chân sau,,AL,,,24,40,,630,4,Cái,0,,,,,,,,0,2026-07-27T08:40:09.71892+00:00,2026-07-27T08:40:09.71892+00:00,,,24x40mm · Nhôm,
CH0184HG-AL,Rhone 2 Seater Aluminium Lounge,0815d7a5-fc46-4f5b-8d5e-fe211e7987ab,f9856e48-3f95-4f76-aa47-20064c5e4460,FRAME,,,Thanh ngang mê,VT-AL-HOP-25x50,AL,HOP,,25,50,,630,2,Cái,0,,,,,,,,6,2026-07-27T08:39:49.196697+00:00,2026-07-27T08:39:49.196697+00:00,,,Hộp 25x50x630mm · Nhôm,
OT0179HG-AL,"Bồn hoa nhỏ, khung nhôm, nan gỗ",0835f030-002e-45a0-99e4-b7c91f153a86,467c7182-10b4-45ac-aee5-7c5ed88542ea,HARDWARE,,,"Lục giác 4, 7 màu",VT-PK-LUCGIAC-LUC-GIAC-4-7-MAU,,,,,,,,1,cái,0,,,,,,,VTR,26,2026-07-27T08:40:20.012597+00:00,2026-07-27T08:40:20.012597+00:00,,,Thép/Nhựa,
CH0187HG-AL,Bar Armchair,08cf988b-56d4-42f6-b7fb-39d03abc8c10,d74c0269-67ef-4343-979b-feef0e4277d9,PACKAGING,,,Honeycomb lót tay vịn/ chair,VT-BB-HONEYCOMB-LOT-TAY-VIN-CHAIR,,,,,,,,2,cái,0,,,,,,,,24,2026-07-27T08:39:51.973407+00:00,2026-07-27T08:39:51.973407+00:00,,,20x40x400mm · Bao bì,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",08f03278-b20a-4b18-998d-340a78964c0c,33351402-69c3-452c-800e-023b985a89f3,HARDWARE,,,Londen nhựa boc inox 8x22x15,VT-PK-LONGDEN-M8X22,,,,,,,,2,cái,0,,,,,,,,23,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Thép/Nhựa,
CH0184HG-AL,Rhone 2 Seater Aluminium Lounge,0902a0d0-2fc5-435f-bcc8-22ffd4280b9e,f9856e48-3f95-4f76-aa47-20064c5e4460,PACKAGING,,,Màng PE,VT-BB-MANG-PE,,,,,,,,3,m,0,,,,,,,,20,2026-07-27T08:39:49.196697+00:00,2026-07-27T08:39:49.196697+00:00,,,Bao bì,
OT0179HG-AL,"Bồn hoa nhỏ, khung nhôm, nan gỗ",094b8673-fd16-4c27-94a4-bd87f8299c06,467c7182-10b4-45ac-aee5-7c5ed88542ea,WOOD,,,Nan khung dưới 2,VT-GO-6x30,WD,,,6,30,,353,4,cái,0,,,,,,,,10,2026-07-27T08:40:20.012597+00:00,2026-07-27T08:40:20.012597+00:00,,,Gỗ 6x30x353mm · Gỗ keo,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",095e43de-94eb-4780-a470-be9c93b88b06,33351402-69c3-452c-800e-023b985a89f3,HARDWARE,,,"Pát I inox - trái, dày 2.5li, rộng 30mm, dài 140mm",VT-PK-PAT-PAT-I-INOX-TRAI-DAY-2-5L,,,,,,,,1,cái,0,,,,,,,,29,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Thép/Nhựa,
CH0001HG-AL,Ghế XC Naxos tay vịn nhôm gián giấy,09892061-dbce-4f5c-be7c-219fb7985b58,01ff6358-52cf-45d5-ac91-c853c5cf474d,HARDWARE,,,Cùi nối,VT-PK-CUI-NOI-CAI,,,,,,,,4,cái,0,,,,,,,,13,2026-07-27T08:40:25.178285+00:00,2026-07-27T08:40:25.178285+00:00,,,cái · Thép/Nhựa,
CH0195HG-IN,"Ghế 5 bậc Keros khung Inox, nan gỗ keo FSC",09a411d7-215c-435a-9a99-40eb86bfc477,33351402-69c3-452c-800e-023b985a89f3,HARDWARE,,,Mạc đồng dán,VT-PK-MAC-DONG-DAN,,,,,,,,1,con,0,,,,,,,,43,2026-07-27T08:40:20.883232+00:00,2026-07-27T08:40:20.883232+00:00,,,Thép/Nhựa,
CH0177HG-AL,Ghế XC Siena,09c5f91b-e714-42b6-a854-9d48ab976a44,ecc2779b-b769-4034-aad4-8cd732d1b4de,HARDWARE,,,"Vít 4x30 ren gỗ, 7M",VT-PK-VIT-M4X30,,,,,,,,6,con,0,,,,,,,,18,2026-07-27T08:40:15.874288+00:00,2026-07-27T08:40:15.874288+00:00,,,"Vít 4x30 ren gỗ, 7M",
TB0166HG-AL,"Bàn CN nhôm gỗ keo 150x90 cm , sơn graphit",09d7f4bd-eb0e-4ed1-881b-5f06df749786,3d8d2375-d1e1-46a5-b90d-6532cf0bfe95,HARDWARE,,,Gót chân vuông 50 x 10ly đen,VT-PK-DECHAN-M50X10,,,,,,,,4,Cái,0,,,,,,,,14,2026-07-27T08:40:03.231565+00:00,2026-07-27T08:40:03.231565+00:00,,,Gót chân vuông 50 x 10ly đen · Nhựa,
BN0203HG-AL,Ghế đôi bằng nhôm gỗ bạch đàn FSC,0a37fba5-2986-426c-950f-e26595e93c3d,de2881a3-ffbd-46b8-b144-c3f858ed4cab,FRAME,,,Dọc tựa,VT-AL-HOP-25x15,AL,HOP,,25,15,,322,2,cái,0,,,,,,,,10,2026-07-27T08:40:27.636224+00:00,2026-07-27T08:40:27.636224+00:00,,,Hộp 15x25x322mm · Hộp,
TB0168HG-AL,"Bàn CNKG nhôm gỗ keo 80(120)x70 cm , sơn graphit",0a50b1ec-4d53-487d-a70f-a2209c165422,f14f2987-0374-4d56-9303-644664529c95,HARDWARE,,,Túi vải,VT-PK-TUI-VAI,,,,,,,,1,Cái,0,,,,,,,,21,2026-07-27T08:40:05.189261+00:00,2026-07-27T08:40:05.189261+00:00,,,Vải,
CH0176HG-AL,Ghế 5 bậc Athos,0a6b4ca5-284c-44f8-9b3d-2009106b3f9a,a0d0c303-46c2-4387-8cce-7c68381c49dd,WOOD,,,Nan ngồi-vẽ,VT-GO-20x20,WD,,,20,20,,376,11,Cái,0,,,,,,,,15,2026-07-27T08:40:14.779484+00:00,2026-07-27T08:40:14.779484+00:00,,,20x20x376mm · Gỗ,
TB0166HG-AL,"Bàn CN nhôm gỗ keo 150x90 cm , sơn graphit",0ae79f22-8b4a-4621-830e-369aa2058a07,3d8d2375-d1e1-46a5-b90d-6532cf0bfe95,FRAME,,,Chân,VT-AL-VUONG-50x50,AL,VUONG,,50,50,,665,4,Cái,0,,,,,,,,2,2026-07-27T08:40:03.231565+00:00,2026-07-27T08:40:03.231565+00:00,,,Vuông 50x50x1mm · Nhôm,
TB0167HG-AL,"Bàn CN nhôm gỗ keo 150x90 cm , sơn bạc",0b04b261-9a54-47eb-965e-24036f72e8e5,02b7c853-9ac4-41c3-ada0-f619f6735301,HARDWARE,,,Gót chân vuông 50 x 10ly đen,VT-PK-DECHAN-M50X10,,,,,,,,4,Cái,0,,,,,,,,14,2026-07-27T08:40:04.076887+00:00,2026-07-27T08:40:04.076887+00:00,,,Vuông 50x10ly · Nhựa,
TB0164HG-AL,Bàn CNKG Tilos 180(250)x100x74 cm,0b3abc54-23a7-4189-9f3e-3baa8187c2e4,8e9471e9-4316-4ea6-be0b-7aee3b53fdd3,FRAME,,,Ắc chân,VT-AL-TRON-16x16,AL,TRON,,16,16,,25,4,Cái,0,,,,,,,,8,2026-07-27T08:40:01.634461+00:00,2026-07-27T08:40:01.634461+00:00,,,Tròn 16x16x3.5mm · Nhôm,
CH0065HG-AL,Ghế đan mây Rattan,0b749e3e-742c-4749-8c5a-d1b74b7bc06e,e1d71586-0510-4d64-a775-23e977a2d463,WOOD,,,Nan Tựa,VT-GO-12x40,WD,,,12,40,,450,8,cái,0,,,,,,,,9,2026-07-27T08:40:26.790785+00:00,2026-07-27T08:40:26.790785+00:00,,,Gỗ 12x40x450mm · Gỗ bạch đàn,
CH0176HG-AL,Ghế 5 bậc Athos,0b83b897-6b95-4300-9494-eaeb18308b4f,a0d0c303-46c2-4387-8cce-7c68381c49dd,FRAME,,,Chân sau,VT-AL-PF-TDB477,AL,PF,TDB477,24,40,,645,2,Cái,0,,,,,,,,1,2026-07-27T08:40:14.779484+00:00,2026-07-27T08:40:14.779484+00:00,,,TD-B477 · Nhôm,
TB0163HG-AL,"Bàn CN Tilos 150x90 cm, Khung nhôm , gỗ keo",0bdb5ae8-ab0f-4ac6-b71f-b3fb81baeb15,00f354d3-fe00-4fb9-a0e3-38327774ee15,WOOD,,,Nan bàn biên,VT-GO-25x40,WD,,,25,40,,653,4,Cái,0,,,,,,,,11,2026-07-27T08:40:00.532777+00:00,2026-07-27T08:40:00.532777+00:00,,,"25x40x653mm, Mộng 40 · Gỗ keo",
TB0193HG-AL,Rhone Round Aluminium Dining Table,0c162660-5749-47ed-843d-44ad9ff1fae9,ac0924e2-8576-4305-a8b2-4ae84302270f,HARDWARE,,,Bulong,VT-PK-BULONG-M8X25,,,,,,,,16,con,0,,,,,,,,15,2026-07-27T08:39:57.151771+00:00,2026-07-27T08:39:57.151771+00:00,,,M8x25 · Ngũ kim,
OT0179HG-AL,"Bồn hoa nhỏ, khung nhôm, nan gỗ",0c3ff9a5-bee6-4986-9670-c07efbb3f0aa,467c7182-10b4-45ac-aee5-7c5ed88542ea,FRAME,,,Chân sau,VT-AL-HOP-40x40,AL,HOP,,40,40,,1390,2,cái,0,,,,,,,,0,2026-07-27T08:40:20.012597+00:00,2026-07-27T08:40:20.012597+00:00,,,Hộp 40x40x1390mm · Hộp,
TB0198HG-IN,"Bàn Keros 150x90 khung Inox, nan gỗ keo FSC",0c4b5cc4-5e0f-4877-83b8-7e786e4abde4,c835fe7a-b3b4-40ed-a1ee-3e432f3166ed,HARDWARE,,,Ty sắt 685mm,VT-PK-TY-SAT-685MM,,,,,,,,4,cây,0,,,,,,,,14,2026-07-27T08:40:22.700984+00:00,2026-07-27T08:40:22.700984+00:00,,,Thép/Nhựa,
CH0194HG-AL,Amr Chair,0c75b804-6d1a-404e-a9e1-ae236be0503a,ffa0cb6c-f29a-44dd-82d4-ac6c19ce1194,PACKAGING,,,Màng PE,VT-BB-MANG-PE,,,,,,,,15,m,0,,,,,,,,17,2026-07-27T08:39:57.991261+00:00,2026-07-27T08:39:57.991261+00:00,,,PE,
CH0187HG-AL,Bar Armchair,0cc184bc-1345-48fb-b0cb-2abb8aabab41,d74c0269-67ef-4343-979b-feef0e4277d9,FRAME,,,Thanh ngang mê trước,VT-AL-HOP-12x40,AL,HOP,,12,40,,507,1,Cái,0,,,,,,,,3,2026-07-27T08:39:51.973407+00:00,2026-07-27T08:39:51.973407+00:00,,,Hộp 12x40x507mm · Nhôm,
TB0193HG-AL,Rhone Round Aluminium Dining Table,0cca46fc-1a56-4529-99a8-626ae0a22dc3,ac0924e2-8576-4305-a8b2-4ae84302270f,WOOD,,,Nan 3 - vẽ,VT-GO-20x120,WD,,,20,120,,1407,2,Cái,0,,,,,,,,4,2026-07-27T08:39:57.151771+00:00,2026-07-27T08:39:57.151771+00:00,,,Gỗ 20x120x1407mm · Gỗ Bạch đàn,
TB0199HG-IN,"Bàn CNKG Keros khung Inox 180(240)x100cm, nan gỗ keo FSC",0cebc072-1e0b-4b8d-b52c-eb5f751e48c3,abbc34a3-c6cb-477d-8ec4-0fbed3012bb6,FRAME,,,Cùm ổ bi,VT-IN-LA-0.6x37,IN,LA,,0.6,37,,98,8,Cái,0,,,,,,,,11,2026-07-27T08:40:18.145781+00:00,2026-07-27T08:40:18.145781+00:00,,,LA 37x0.6mm · Inox,
SL0181HG-AL,Giường tắm nắng Paxos,0cf63328-43f3-43bc-b35d-0ec35469b97c,061e7682-05b0-43e3-a65d-1d7921caa87b,HARDWARE,,,"LĐS 6x16x1, đen",VT-PK-LDS-6X16X1-DEN-6X16X1MM,,,,,,,,2,con,0,,,,,,,,33,2026-07-27T08:40:07.914699+00:00,2026-07-27T08:40:07.914699+00:00,,,6x16x1mm,
TB0094HG-AL,Bàn CN NW 1725x1000,0d0549b0-e732-42d6-afa4-3faefed3356d,a92ef538-fef8-4eee-b2bd-c81fa8b693a7,FRAME,,,Khung bàn lớn/ nan bàn dọc giữa,VT-AL-TOLE-1x284,AL,TOLE,,1,284,,736,3,Cái,0,,,,,,,,10,2026-07-27T08:39:47.189331+00:00,2026-07-27T08:39:47.189331+00:00,,,Tole 284x736mm · Sắt,
